Spanish,English,Base
que,that,que
de,of,de
no,No,no
a,to,a
la,the,la
el,he,el
es,is,ser
y,and,y
en,in,en
lo,it,lo
un,a,un
por,by,por
qué,that,qué
me,I,me
una,a,un
te,tea,te
los,the,lo
se,HE,se
con,with,con
para,for,para
mi,my,mi
está,this,estar
si,Yeah,si
bien,good,bien
pero,but,pero
yo,I,yo
eso,that,eso
las,the,la
sí,Yeah,sí
su,his,su
tu,you,tu
aquí,here,aquí
del,of the,del
al,to the,al
como,as,como
le,you,le
más,further,más
esto,this,esto
ya,already,ya
todo,all,todo
esta,this,esta
vamos,come on,ir
muy,very,muy
hay,there is,haber
ahora,now,ahora
algo,something,algo
estoy,I'm,estar
tengo,I have,tener
nos,us,nos
tú,you,tú
nada,nothing,nada
cuando,when,cuando
ha,ha,haber
este,this,este
sé,HE,saber
estás,are,estar
así,So,así
puedo,I can,poder
cómo,as,cómo
quiero,wanna,querer
sólo,only,sólo
soy,am,ser
tiene,has,tener
gracias,thank you,gracias
o,either,o
él,he,él
bueno,Well,bueno
fue,was,ser ir
ser,be,ser
hacer,do,hacer
son,are,ser
todos,all,todo
era,was,ser
eres,are,ser
vez,time,vez
tienes,have,tener
creo,believe,creer
ella,she,ella
he,He,haber
ese,that,ese
voy,go,ir
puede,can,poder
sabes,You know,saber
hola,hello,hola
sus,their,su
porque,because,porque
dios,God,dios
quién,who,quién
nunca,never,nunca
dónde,where,dónde
quieres,want,querer
casa,home,casa casar
favor,favor,favor
esa,that,ese
dos,two,dos
tan,so,tanto
señor,Sir,señor
tiempo,time,tiempo
verdad,TRUE,verdad
estaba,was,estar
mejor,better,mejor
están,are,estar
va,goes,ir
hombre,man,hombre
usted,you,usted
mucho,a lot,mucho
hace,does,hacer
entonces,so,entonces
siento,I feel,sentir sentar
tenemos,have,tener
puedes,can,poder
ahí,there,ahí
ti,you,ti
vida,life,vida
ver,see,ver
alguien,someone,alguien
sr,Mr,señor
hasta,until,hasta
sin,without,sin
mí,my,mí
solo,only,solo
años,years,año
sobre,about,sobre
decir,say,decir
uno,one,uno
siempre,always,siempre
oh,Oh,oh
ir,go,ir
cosas,things,cosa coser
también,also,también
antes,before,antes
has,you have,haber
ni,neither,ni
mis,my,mi
día,day,día
estar,be,estar
estamos,we are,estar
noche,evening,noche
nadie,nobody,nadie
otra,other,otro
quiere,wants,querer
parece,seems,parecer
nosotros,us,nosotros
poco,bit,poco
padre,father,padre
trabajo,job,trabajo trabajar
gente,people,gente
mira,look,mirar
vas,you go,ir
sea,be,ser
les,them,les
donde,where,donde
mismo,same,mismo
hecho,made,hacer hecho
ellos,they,ellos
dijo,said,decir
pasa,happens,pasar
dinero,money,dinero
hijo,son,hijo
tal,such,tal
otro,other,otro
hablar,talk,hablar
seguro,sure,seguro
claro,clear,claro
estas,are,este
lugar,place,lugar
mundo,world,mundo
amigo,friend,amigo
