Gaeilge,English
an,The
bí,Be
ar,on
agus,and
is,is
ag,at
le,with
na,these
do,for
go,to
de,of
sé,it
sin,That
ó,Oh
é,it
seo,This
cuir,Add
mar,as
ach,But
déan,Repeat
faoi,about it
nó,or
duine,a person
tabhair,Give
ní,not
aon,no
as,off
chun,to
eile,Other
abair,Say
mé,me
tar,Come
cuid,part
maith,Good
faigh,Get
sí,she
ná,nor
bliain,Year
siad,they
téigh,Go
nuair,when
iad,them
amach,out
cé,Who
nach,not
bain,Remove
ceann,one
gach,All
tú,you
rud,something
í,it
caith,Throw
Gaeilge,Irish
trí,Three
gan,Not
féidir,can
lá,day
chomh,so
fear,man
isteach,in
fad,Length
áit,place
beag,small
am,Time
chuig,to
Éire,Ireland
obair,work
céad,one hundred
amháin,one
taobh,side
anois,Now
céile,Spouse
mac,son
feic,See
níos,More
má,if
teach,House
ceart,right
gur,that
idir,between
scéal,story
tír,Country
saol,Life
ar bith,any
roimh,before
féad,can
ceist,question
ansin,then
deireadh,End
bean,woman
dóigh,Burn
dá,both
fios,Know
uair,times
alt,section
te,hot
pobal,Community
comhairle,Council
éirigh,Rise
aghaidh,face
céanna,same
arsa,said
súil,Hoping
scoil,school
síos,down
fág,Leave
nua,new
glac,Take
roinn,Department
arís,again
maidir,About
teanga,Language
cás,Case
úsáid,Use
leith,separate
iarr,Ask
tóg,Take
óg,young
níor,not
anseo,Here
thar,over
tuig,Understand
oíche,Night
aire,Minister
baile,Home
cad,What
lucht,charge
cúrsa,Course
eolas,Information
imigh,Go
méid,Size
leor,enough
lean,Follow
fada,long
caint,talk
leabhar,Book
scríobh,Write
acht,Act
seachtain,week
feidhm,function
lámh,hand
ceap,pad
tarlaigh,happen
ais,back
mí,month
léir,all
áirigh,include
ábhar,Material
féach,look
bealach,Way
ard,High
páiste,Child
muintir,People
airgead,Money
béal,mouth
freisin,also
bord,Board
rialtas,Government
uile,all
siúil,Walk
bunaigh,set up
gabh,go
diaidh,Eventually
stát,State
ainm,Name
suas,up
athair,father
dia,God
fós,Still
ár,Our
ea,EA
seirbhís,Service
éigin,somebody
clár,Program
talamh,land
buail,Meet
riamh,never
muid,We
focal,word
tús,Beginning
mise,me
fiú,Even
linn,Us
fan,Stay
dar,According
contae,County
foireann,Staff
meas,respect
measc,Mix
leag,lay
bóthar,Road
labhair,Talk
clois,hear
cónaí,Residence
ceol,Music
bás,Death
cur,add
nár,not
tosaigh,Start
ceantar,Area
údarás,Authority
léirigh,Production
gá,need
thart,around
minic,often
cluiche,Game
anuas,past
iomlán,Total
Seán,John
cóir,fair
conradh,contract
ionad,Center
uisce,water
díreach,straight
geall,promise
oileán,Island
cinn,ones
leithéid,Such
cuma,look
cúpla,couple
oideachas,Education
beir,Bring
mol,Hub
aois,Age
cineál,Type
inis,Ennis
oiread,so much
páirtí,Party
ball,member
lán,full
siar,west
cúirt,court
cathair,City
máthair,Mother
náisiúnta,National
sampla,Example
lig,Let
doras,Door
oifig,Office
timpeall,around
tarraing,Draw
bun,bottom
cos,leg
éagsúil,diverse
dún,fort
cáin,Tax
córas,System
istigh,inside
forbair,Develop
post,job
airteagal,Article
croí,heart
mórán,Few
rith,run
seisean,He
seas,Stand
barr,Top
dáil,Dáil
siúd,those
tréimhse,period
imeacht,event
sásta,happy
breá,fine
amuigh,Out
cúis,Reason
réir,by
deis,opportunity
áirithe,certain
áitiúil,local
saothar,work
coiste,Committee
aimsir,weather
maidin,morning
toradh,Result
inniu,Today
suigh,Sit
breis,More
each,horse
fuil,blood
tosach,Start
tuairim,Opinion
béarla,English
láthair,Location
ealaín,Art
comhlacht,Body
domhan,Earth
coinnigh,Keep
dán,poem
caoi,Caoi
mura,unless
meán,average
tí,House
sráid,Street
gnó,business
deir,say
tamall,some time
Máire,Mary
fíor,true
seol,Send
cheana,already
iarratas,Application
caill,Lose
múinteoir,teacher
Gaillimh,Galway
cara,friend
seomra,Room
breathnaigh,Look
gearr,Cut
cosúil,Like
luaigh,Mention
dlí,Law
iarracht,effort
cúig,five
nós,habit
sula,Before
áfach,However
míle,miles
rí,King
slí,way
úd,that
saor,Free
foilsigh,Publish
ann,there
creid,Believe
luath,Early
deas,nice
fás,Growth
iúl,express
síl,Seed
grúpa,group
coláiste,College
láidir,strong
um,Um
fáth,reason
treo,direction
déag,thirteen
fadhb,Problem
cá,Where
sláinte,Health
coinne,an appointment
cúl,back
pléigh,Discuss
cas,Turn
dara,second
in aghaidh,against
aontaigh,Agree
sagart,Priest
mair,Mair
sórt,type
Eorpach,European
tábhachtach,important
cead,permission
mír,Item
don,Don
dó,for him
bonn,base
beo,alive
íoc,Pay
dubh,black
scéim,Scheme
seans,chance
fómhar,Autumn
bocht,poor
aithin,Identify
cor,Cor
cogadh,War
poiblí,public
thiar,West
amhrán,Song
tuill,earnings
foghlaim,Learning
lacha,duck
cailín,Girl
gaoth,wind
céim,Step
ceathair,Four
bia,food
dream,Dream
cumas,Capacity
amhlaidh,so
at,swelling
tráth,time
clann,family
leanbh,baby
leas,Welfare
fonn,desire
oscail,open
stair,History
críoch,end
brí,meaning
athraigh,Switch
cúram,Care
ollscoil,University
ceannas,dominance
seachas,except
ól,Drink
cosain,Protect
cibé,Whatever
díol,Selling
iontach,great
roinnt,Some
imir,Play
más,if
loch,Lake
abhaile,home
athrú,change
leibhéal,level
forbairt,Development
cumhacht,Power
cumann,Association
toisc,because
bád,Boat
grá,Love
ionann,equivalent
soláthair,Provision
ocht,eight
tacaíocht,Support
páirt,Part
farraige,Sea
cónaigh,live
cloch,stone
cinnte,Sure
sinn,We
glan,Clean
comórtas,Competition
solas,light
foirm,form
teastaigh,wanted
tuaisceart,North
teideal,Title
litir,Letter
gné,feature
plean,Plan
suim,sum
cruthaigh,Create
páirc,Park
beatha,Life
teaghlach,Family
léann,reads
bó,cow
Mór,Big
aithne,known
rogha,Choice
bris,break
pointe,point
bailigh,collect
cuairt,Visit
dath,Color
Sasana,England
olc,evil
im,im
file,File
bog,soft
leath,Half
sóisialta,Social
laghad,least
féile,festival
uasal,Ms.
conas,how
léigh,Read
deacair,Difficult
ceannaigh,Buy
lorg,Finding
aontas,Union
clog,Clock
té,NI
maraigh,Kill
thuaidh,North
dírigh,Concentrate
gníomh,action
grian,sun
dócha,Probably
socraigh,Set
úr,fresh
deireanach,last
freagra,Answer
comhphobal,Community
cuí,appropriate
arm,Army
buachaill,boy
dáta,Date
Domhnach,Sunday
dul,go
bán,White
éigean,some
amhras,suspicion
scaoil,Release
sibh,You
lár,middle
píosa,piece
thíos,below
trácht,traffic
líne,Online
ór,gold
seacht,Seven
tráthnóna,Evening
éist,Listen
rang,Class
samhradh,Summer
Liam,Liam
fóill,yet
dúchas,Native
turas,trip
mó,greater
ith,eat
tuairisc,Report
speisialta,Special
cuimhne,Memory
comhair,Cooperation
téarma,term
cuireadh,Invitation
luigh,Lie
beith,birch
riail,rule
Meiriceá,America
fógra,Notice
thuas,above
páipéar,Paper
beart,measure
tagair,referring
cabhair,Help
sraith,Series
treoir,Guide
tine,fire
áireamh,included
corp,body
craobh,Championship
oifigeach,Officer
nigh,Wash
fill,Return
mian,Wish
cultúr,culture
deara,cause
siopa,Shop
Éireannach,Irish
mínigh,Explain
amharc,Look
oibrigh,Work
reacht,Statute
cuimhnigh,Remember
intinn,mind
polasaí,policy
capall,horse
scannán,Movie
freagair,Answer
gníomhaíocht,activity
bua,victory
údar,Author
leaba,bed
comhalta,member
tuismitheoir,Parent
deich,ten
rún,Resolution
teilifís,TV
dearg,red
tagairt,Reference
freastail,Attention
eagla,fear
baint,Removal
L,L
slán,Goodbye
ainneoin,Despite
garda,Guard
braith,feel
leasaigh,amend
ceangail,Connect
laistigh,within
raidió,Radio
éadach,Cloth
tionchar,Impact
idirnáisiúnta,International
eagraíocht,Organization
aird,attention
fáilte,Welcome
aer,Air
pós,marry
beagán,slightly
dráma,play
caighdeán,Quality
fiche,twenty
luach,value
pictiúr,Picture
déanach,late
airgeadas,Finance
domhain,deep
sise,She
feidhmigh,function
coinníoll,Condition
sliabh,mountain
réitigh,Solve
réidh,ready
fírinne,Truth
foinse,source
ré,era
neart,Strength
comhar,Cooperation
tusa,you
oifigiúil,Official
uachtarán,President
toil,will
modh,Method
cum,Cum
scríbhneoir,Writer
triúr,three
leigheas,Medicine
scrúdú,Examination
Nollaig,December
pleanáil,Planning
fógair,announced
cuidigh,Help
Peadar,Peter
roghnaigh,Select
iontas,Surprise
smaoineamh,think
cuideachta,Company
stop,Stop
cuntas,account
creideamh,religion
aonar,alone
páirteach,participating
taispeáin,Show
geal,Bright
filíocht,Poetry
baol,danger
tiarna,Lord
ciallaigh,Means
láithreach,immediately
coimeád,custody
marbh,Dead
críochnaigh,Finish
smaoinigh,Think
teacht,come
deoch,drink
parlaimint,Parliament
os cionn,above
álainn,Beautiful
greim,grip
fosta,also
staidéar,study
suíomh,Location
aimsigh,Find
géar,sharp
dalta,Pupil
gar,close
deo,Forever
faisnéis,Information
costas,Cost
port,Port
trom,heavy
fianaise,Evidence
droim,Drum
dáiríre,Actually
iompair,transportation
troid,fight
anam,soul
leagan,Version
teagasc,Teaching
cruinniú,Meeting
eagraigh,Organize
bhuel,Well
ócáid,event
codail,Sleep
uimhir,Number
tuath,countryside
brath,Detection
dochtúir,doctor
fiafraigh,Ask
ciall,meaning
ardaigh,rose
buaigh,win
oidhreacht,Heritage
cinntigh,Make sure
abhainn,river
deimhin,ensure
cothaigh,Nutrition
á,being
glas,green
airde,height
soiléir,clear
pearsanta,Personal
foras,Foundation
aistrigh,move
spéis,Interest
dualgas,Duty
iníon,Miss
dearmad,Forgotten
sín,Stretch
próiseas,Process
spórt,Sport
fostaíocht,employment
banc,Bank
gleann,Valley
litríocht,literature
comhlíon,compliance
sean,Old
polaitíocht,Politics
réim,regime
ráiteas,Statement
iarthar,West
sonraigh,Specify
gnáth,Normal
beartaigh,Tap
guth,Voice
bronn,Donation
dochar,harm
slua,crowd
cinneadh,decision
nuachtán,newspaper
radharc,View
cion,offense
iasc,fish
dár,for our
spreag,inspired
margadh,Market
toghchán,election
comhaontú,Agreement
brúigh,Press
diabhal,Devil
daonna,Human
leathan,Wide
socrú,Setup
Tadhg,Tadhg
feachtas,Campaign
deartháir,brother
formhór,Most
ordú,Order
bláth,flower
nuacht,news
riachtanas,requirement
fuinneog,Window
teorainn,Limit
tuiscint,Understanding
gairid,Short
trasna,across
taisteal,Travel
malairt,exchange
suíochán,seat
thall,opposite
áis,facility
ainmhí,Animal
nóiméad,minutes
íseal,Low
liosta,list
caibidil,Chapter
feabhas,Improvement
gáir,Gear
siúl,walk
carraig,rock
taca,Support
trá,beach
glúin,generation
stiúrthóir,Director
cumarsáid,Communication
polaitiúil,political
San,San
maithe,good
cnoc,Hill
Caitliceach,Catholic
taighde,Research
imreoir,Player
aigne,mind
earra,article
aonad,Unit
ceadaigh,Allow
dúil,Desire
mall,slow
saghas,sort
duais,Prize
balla,Wall
taitin,Come
tábhacht,Importance
oireachtas,Oireachtas
méadaigh,increase
Satharn,Saturday
comhartha,signal
mála,Bag
pé,whatever
caisleán,Castle
scil,skill
saighdiúir,Soldier
múin,Teach
síocháin,peace
nóta,Note
taithí,Experience
naoi,Nine
institiúid,Institute
diúltaigh,refused
meall,tumor
cuspóir,objective
ábalta,able
ainmnigh,Name
stáisiún,Station
vóta,Vote
ginearálta,General
glór,voice
riachtanach,Required
imní,anxiety
gníomhaigh,act
gluais,Glossary
mothaigh,Feel
ceannaire,leader
aníos,now
eaglais,Church
bainisteoir,Manager
cathaoirleach,Chairman
eolaíocht,Science
deontas,Grant
ordaigh,Order
rialta,Regular
teachta,Deputy
bille,Bill
cill,cell
teagmháil,Contact
comhrá,Chat
foirgneamh,building
tionscal,Industry
Eoin,John
cruinnigh,Gather
nocht,naked
tada,nothing
tuarascáil,Report
rialachán,Regulation
bac,obstruction
cloigeann,skull
paróiste,parish
aidhm,Aim
trua,pity
gáire,laugh
cló,font
éan,bird
gearán,Complaint
buíochas,thanks
eachtra,adventure
adhmad,wood
poll,hole
glaoigh,Call
scríbhinn,writing
samhlaigh,Imagine
spéir,sky
cruinn,accurate
scór,Score
milliún,million
éiligh,claim
ioncam,Income
fuar,cold
leathanach,Page
ráta,Rate
teip,failure
Londain,London
gaol,Relationship
breac,trout
timpeallacht,Environment
easpa,Lack
galar,Disease
gasúr,boy
gorm,blue
deacracht,Difficulty
oiliúint,Training
caidreamh,relationship
ciúin,quiet
can,can
Márta,March
crua,hard
iarrthóir,candidate
bosca,box
peil,football
aitheantas,Recognition
theas,South
éineacht,with
traidisiún,Tradition
ullmhaigh,Prepare
réimse,field
clé,Left
Luan,Monday
ceangal,Connection
caiteachas,Expenditure
punt,pound
scrúdaigh,Examine
gluaiseacht,Movement
poblacht,Republic
beartas,Policy
cath,battle
urlár,Floor
triail,Trial
seasamh,position
fuinneamh,Energy
béim,emphasis
tóir,Popular
coitianta,Popular
éisteacht,Listening
cothrom,flat
Muire,Mary
sroich,reach
cál,Kale
foráil,Provision
